City,Business Name,Address,Website,Review Text,Timestamp,Stars,TrueTimestamp,sentiment,sentiment_num,Year
agadir,Attijariwafa Bank,"CCJ9+9XW, Agadir 80000",https://business.google.com/create?fp=7523417842833502889&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,Beaucoup des clients qui attends outside alors que un seul guichet qui travail… deja ca existe 3 mais just un qui bosse 🤦🏽‍♂️ …,il y a 3 ans,2,2022-03-14 21:22:17.360486,neutral,1,2022
agadir,Attijariwafa Bank,"CCJ9+9XW, Agadir 80000",https://business.google.com/create?fp=7523417842833502889&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,Bon service,il y a 2 ans,4,2023-03-14 21:22:17.360486,positive,2,2023
agadir,Attijariwafa Bank,"CCJ9+9XW, Agadir 80000",https://business.google.com/create?fp=7523417842833502889&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,Service👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽 …,il y a 3 mois,5,2024-12-13 21:22:17.360486,positive,2,2024
agadir,Attijariwafa Bank,"CCJ9+9XW, Agadir 80000",https://business.google.com/create?fp=7523417842833502889&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,No review text found,il y a 13 ans,5,2012-03-16 21:22:17.360486,negative,0,2012
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"Le service est nul, j'ai pas de compte bancaire à cette banque, mais j'ai effectué un virement samedi 21/09/2024 matin, et jusqu'à maintenant 20h00 23/09/2024, le destinataire n'a pas reçu le virement.
Je suis un client de la banque crédit du Maroc , et croyez moi. Le virement est instantanée.",il y a 5 mois,1,2024-10-14 21:22:17.360486,negative,0,2024
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"Excellent. Très bonne banque !
Remarque les esprits chagrins qui mettent 1 étoile à wafabank  doivent savoir que wafabank meilleure banque au Maroc et plus n'accueille pas n'importe qui avec le sourire pour
des personnes peu claires avec des rentrées d'argent hypothétiques et des projets fumeux.",il y a 6 mois,5,2024-09-14 21:22:17.360486,positive,2,2024
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"J’ai toujours retiré de l’argent de n’importe quelle agence !! Aujourd’hui le monsieur youssef de l’agence founty m’a fait attendre 1h son chef qui n’est pas tte en sachant que youssef sait très bien que son chef ne vient pas à l’agence !! Youssef ma mal parlé deésagréable et malpoli!! Service 0
Service médiocre 0 Youssef de l’agence Attijari bank hassbia allah fik tu m’a faut attendre ton chef 1h pour rien tu savais qu’il viendra pas !!!! Tu m’a juste demandé d’attendre !!! Youssef de l’agence founty je ferais que des réclamations walah partout !!! Faut que tu change d’emploi !!tes pas fait pour travailler dans une agence de bank",il y a un an,1,2025-03-13 21:22:17.360486,negative,0,2025
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"1 etoile car impossible de mettre plus bas !! Aucun services, accueil deplorable, c'est une banque qui deteste les clients, j'ai cloture mon compte pour aller sous de meilleurs cieuxsi vous pouvez deposer votre argent et ne pas les deranger c'est parfait. AFUIR",il y a un an,1,2025-03-13 21:22:17.360486,negative,0,2025
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"Je voulais ouvrir un compte pratique ment aucune parole sauf donnez moi votre passeport après avoir signé X documents j ais demandé au conseiller moi je n ais rien en retour? Il m as donné un RIB  sans aucune explication sauf de mettre de l argent sur le nouveau compte carnet de chèque? Date ?cb? ensuite j ais du partir sans un au revoir etc
Très déçu pour 1 premier contact!!ensuite j y suis retourné 2 fois pour résilié le contrat nous sommes en septembre toujours rien de fait agence à marjane agadir",il y a 5 ans,1,2020-03-14 21:22:17.360486,negative,0,2020
agadir,Attijariwafa Bank,"9CX6+JX7, Agadir 80000",https://business.google.com/create?fp=18230107572151011058&hl=fr&authuser=0&gmbsrc=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=ma-fr-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,Très bonne équipe professionnelle et à l’écoute,il y a 2 mois,5,2025-01-12 21:22:17.360486,positive,2,2025
